name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
paris,2020-01-01T00:00:00,1,-1.8,-0.1,92.21,0,0,,0,0,14.8,8.8,138,1032.5,21.3,3.9,0,0,0,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T01:00:00,0.3,-1.4,-0.6,93.99,0,0,,0,0,14.5,5.3,158,1032.5,87.5,1.7,0,0,0,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T02:00:00,-0.7,-3.8,-1.3,95.71,0,0,,0,0,16.9,8.9,190,1032.2,87,0.9,0,0,0,,Partially cloudy,fog,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T03:00:00,-0.5,-3.4,-0.9,97.66,0,0,,0,0,19.9,8.2,192,1032.2,80,0.9,0,0,0,,Partially cloudy,fog,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T04:00:00,-0.1,-2.1,-0.5,97.36,0,0,,0,0,21.8,5.8,210,1031.9,97.2,0.1,0,0,0,,Overcast,fog,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T05:00:00,0.2,-2.2,-0.1,97.98,0,0,,0,0,15,7.2,198,1031.6,97.2,0.9,0,0,0,,Overcast,fog,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T06:00:00,0.4,0.4,0,97.53,0,0,,0,0,11.5,4.4,165,1031.9,100,3.3,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T07:00:00,0.5,-1.3,0.2,98.07,0,0,,0,0,14,5.6,162,1031.9,100,2.7,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T08:00:00,0.7,-2.7,0.4,98.2,0,0,,0,0,18,10.8,163,1031.9,100,1.7,0.2,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T09:00:00,0.9,-2.4,0.6,97.64,0,0,,0,0,17.7,10.5,161,1032.2,100,1.6,5,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-01T10:00:00,1.2,-2.1,1.2,99.69,0,0,,0,0,17.9,10.8,161,1032.5,100,1.5,10,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-01T11:00:00,1.9,-0.7,1.7,98.65,0,0,,0,0,17.2,8.7,166,1032.6,100,2.5,33,0.1,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-01T12:00:00,2.6,0.8,2.4,98.24,0,0,,0,0,17.2,6.7,165,1032.5,100,2.5,35,0.1,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-01T13:00:00,3,1.2,2.6,97.7,0,0,,0,0,12.4,6.5,141,1031.7,100,1,33,0.1,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-01T14:00:00,3.3,0.9,3.3,99.72,0,0,,0,0,18.4,8.9,153,1030.9,100,1,32,0.1,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-01T15:00:00,3.6,1.5,3.4,98.28,0,0,,0,0,18.6,8.2,154,1030.6,100,0.9,27,0.1,0,,Overcast,fog,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-01T16:00:00,4,1.9,3.6,97.74,0,0,,0,0,17,8.3,139,1030.5,100,1,15,0.1,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-01T17:00:00,4.1,2,3.8,98.24,0,0,,0,0,18.3,8.2,135,1030.6,100,1.7,10,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-01T18:00:00,4.2,2.2,4,98.24,0,0,,0,0,17.2,8.2,136,1030.7,100,0.9,0,0,0,,Overcast,fog,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T19:00:00,4.4,2.4,4.1,97.78,0,0,,0,0,16.5,8,135,1030.6,100,1.6,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T20:00:00,4.4,2.3,4.2,98.81,0.014,100,rain,0,0,17.1,8.4,138,1030.7,100,1,0,0,0,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T21:00:00,4.5,2.5,4.2,98.27,0.014,100,rain,0,0,18,8.2,150,1030.2,100,3.2,0,0,0,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T22:00:00,4.4,2,4,97.73,0,0,,0,0,18.4,9.8,151,1029.9,100,3.3,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-01T23:00:00,4.2,1.7,4,98.69,0,0,,0,0,20.5,10.1,151,1029.8,100,3.4,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T00:00:00,4.3,2.3,4.1,98.67,0,0,,0,0,17.4,7.8,143,1029.4,100,2.7,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T01:00:00,4.3,2.3,4.2,99.66,0,0,,0,0,16.2,8,145,1028.7,100,3.4,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T02:00:00,4.5,2.5,4.1,97.66,0.315,100,rain,0,0,16.8,8,136,1028.2,100,2.4,0,0,0,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T03:00:00,4.6,2.8,4.5,99.27,0.144,100,rain,0,0,16.9,7.4,120,1028,100,1.8,0,0,0,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T04:00:00,4.8,3.6,4.6,98.84,0,0,,0,0,12.1,5.7,129,1027.7,100,1,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T05:00:00,5,4,4.9,99.29,0.016,100,rain,0,0,10.8,5.3,126,1027.2,100,0.8,0,0,0,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T06:00:00,5.2,4.2,5.1,98.8,0.302,100,rain,0,0,10.5,5.4,122,1027,100,1.5,0,0,0,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T07:00:00,5.5,4.5,5.4,99.3,0,0,,0,0,11.8,5.4,138,1026.9,100,0.8,0,0,0,,Overcast,fog,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T08:00:00,6,6,5.9,99.3,0.027,100,rain,0,0,12,4.3,189,1027.1,100,3,0.2,0,0,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T09:00:00,6.2,6.2,6.2,99.84,0,0,,0,0,12.2,4,193,1027.1,100,0.9,6,0,0,,Overcast,fog,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-02T10:00:00,6.8,5.7,6.6,98.77,0,0,,0,0,13.1,6.1,197,1027.1,100,4,15,0.1,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-02T11:00:00,7.4,5.5,7.2,98.76,0,0,,0,0,19.3,10.6,207,1027.4,100,8.1,35,0.1,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-02T12:00:00,8.2,6.5,7.8,97.25,0.014,100,rain,0,0,21.2,9.5,204,1027,100,9.8,58,0.2,1,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-02T13:00:00,8.4,6.9,8.1,97.59,0,0,,0,0,19.9,9.5,213,1026.5,100,4.1,51,0.2,1,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-02T14:00:00,8.9,7.5,8.4,96.89,0.017,100,rain,0,0,20.8,9,217,1025.7,99,23.1,48,0.2,0,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-02T15:00:00,8.9,7,7.8,92.94,0,0,,0,0,24.7,12.1,217,1025.1,99,22.6,52,0.2,1,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-02T16:00:00,8.8,7.1,7.6,92.45,0,0,,0,0,24.4,10.1,198,1024.8,99,25.1,22,0.1,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2020-01-02T17:00:00,8.6,6.8,7.4,91.87,0,0,,0,0,24.9,11.2,205,1025,99,25.8,7,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999,D3623"
paris,2020-01-02T18:00:00,8.8,7.3,7.6,92.28,0,0,,0,0,20.4,9.3,198,1025.1,99,22.6,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T19:00:00,8.8,6.8,7.6,92.05,0,0,,0,0,25.9,12.3,207,1024.8,99,19.1,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T20:00:00,8.9,7.1,7.7,92.08,0,0,,0,0,25.7,11.3,199,1024.6,99,16.9,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T21:00:00,9,6.9,7.8,92.18,0,0,,0,0,27,13.3,198,1024.3,99,10.2,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T22:00:00,9,7.4,7.8,91.88,0,0,,0,0,26.2,10.4,207,1024.2,99,17.5,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-02T23:00:00,9.1,6.8,7.5,89.97,0,0,,0,0,29.6,15,214,1024,99,19.2,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-03T00:00:00,9.1,6.7,7.3,88.62,0.007,100,rain,0,0,37,15.9,216,1024.1,99,20.1,0,0,0,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-03T01:00:00,9.1,6.6,7,87.09,0,0,,0,0,33,16.5,217,1023.9,99,20,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-03T02:00:00,9,6.9,6.9,87.06,0,0,,0,0,30.8,13.3,216,1023.1,99,20.9,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-03T03:00:00,8.6,6.4,6.5,86.22,0,0,,0,0,31.5,14.2,207,1022.8,99,21.6,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-03T04:00:00,8.5,6.1,6.1,84.94,0,0,,0,0,38.2,14.5,207,1022.2,99,21.4,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-03T05:00:00,8.6,5.2,6.1,84.67,0.144,100,rain,0,0,45.3,23.5,215,1021.9,99,20.6,0,0,0,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
paris,2020-01-03T06:00:00,8.6,6.4,6.5,86.45,0,0,,0,0,41.2,14,202,1021.8,99,19.9,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
